,artist_name,count,Id
2,jay chou,186776,14350
3,mayday,182090,20104
4,jj lin,115325,14925
5,hebe,104946,12432
6,amei,82799,1193
7,eason chan,76035,8912
8,g e m,67297,10924
9,bigbang,61927,3372
10,r chord,57040,24710
11,maroon,55152,19695
12,a lin,52913,66
13,eric,50829,9563
14,jolin tsai,49055,15334
15,sodagreen,47177,28028
16,della,47005,7550
17,rainie yang,46006,24860
18,fish leong,44290,10297
19,the chainsmokers,44215,30057
20,claire kuo,42957,5885
21,yoga lin,41954,34328
22,the last day,41633,30610
23,jam hsiao,40309,14038
24,kenji wu,39617,16473
25,william wei,39252,33818
26,bii,38877,3387
27,alan walker,36781,660
28,nickthereal,34614,22287
29,s h e,32411,26210
30,bruno mars,32391,4333
31,yanzi sun,31708,34205
32,jody jiang,31144,15013
33,andrew tan,30870,1496
34,shi shi,30798,27336
35,justin bieber,30621,15868
36,lala hsu,29184,17436
37,christine fan,28719,5641
38,leehom wang,27398,17765
39,jacky cheung,26759,13903
40,g u t,25781,10948
41,ed sheeran,25680,8964
42,power station,25521,24378
43,bangtan boys,24987,2699
44,tanya chua,24772,29539
45,taylor swift,24347,29602
46,charlie puth,24144,5190
47,twice,22443,32486
48,ricky hsiao,22210,25483
49,show lo,22187,27448
50,mp magic power,22118,21387
51,adele,21732,336
52,calvin harris,21075,4613
53,miss ko,20888,20948
54,exo,20774,9858
55,sia,20617,27492
56,coldplay,20132,6151
57,china blue,19444,5431
58,one ok rock,19420,22973
59,sam lee,19319,26400
60,radwimps,18792,24804
61,angela chang,18295,1566
62,jiajia,18233,14793
63,niko sun,17833,22395
64,elva hsiao,17454,9321
65,gboyswag,17356,11134
66,cyndi wang,17212,6619
67,echo music,17163,8947
68,the weeknd,17094,31329
69,jess lee,17082,14691
70,mj,17060,21013
71,yisa yu,16921,34299
72,waa wei,16885,33390
73,pets tseng,16193,23866
74,taeyeon,14992,29422
75,avril lavigne,14709,2354
76,karen mok,14582,16127
77,julia peng,14551,15700
78,ariana grande,14405,1970
79,under lover,14052,32704
80,shin,13986,27352
81,rihanna,13939,25522
82,flo rida,13831,10382
83,faye wong,13823,10086
84,david guetta,13804,7201
85,shadya lan,13771,27148
86,fifth harmony,13742,10208
87,diana wang,13688,7779
88,rachel liang,13654,24765
89,david tao,13593,7274
90,one direction,13458,22963
91,phil chang,13447,23899
92,penny tai,13419,23724
93,ella chen,13301,9255
94,shawn mendes,13252,27263
95,lady gaga,13248,17402
96,khalil fong,13209,16598
97,dj snake,13057,8300
98,miu chu,12804,20993
99,shennio lin,12727,27322
100,rene liu,12726,25278
101,eve ai,12415,9781
102,lisa ono,12403,18214
103,z chen chang,12163,34632
104,by,12128,4478
105,andy lau,12019,1526
106,girls generation,11862,11416
107,f i r,11748,9902
108,jonathan lee,11507,15381
109,major lazer,11211,19218
110,ailing tai,11131,523
111,gary chaw,11130,11072
112,cheer chen,10816,5255
113,blackpink,10710,3608
114,amit,10630,1274
115,pitbull,10500,24141
116,elvis,10387,9329
117,jane huang,10316,14174
118,nine chen,10286,22426
119,will pan,10197,33784
120,joey yung,10188,15113
121,richie jen,10146,25451
122,naiwen yang,9821,21778
123,amber an,9743,1173
124,yen j,9714,34264
125,maggie fu,9705,19157
126,avicii,9668,2347
127,tank,9429,29533
128,coco lee,9359,6094
129,onerepublic,9211,22988
130,shin band,9071,27353
131,harlem yu,9030,12249
132,twenty one pilots,9013,32483
133,landy wen,8949,17472
134,zedd,8932,34700
135,imagine dragons,8843,13342
136,jordan chan,8808,15424
